qoss qsim qoss1 qsim1 qoss2 qsim2
4.45 15 4.45 15 4.45 3.512333
4.31 14.3822 4.31 14.09397 4.31 3.16795
4.35 13.78984 4.35 13.24266 4.35 2.887642
4.26 13.22189 4.26 12.44278 4.26 2.65655
4.18 12.67748 4.18 11.69129 4.18 2.467843
3.9 12.15534 3.9 10.9851 3.9 2.305167
3.91 11.65466 3.91 10.32155 3.91 2.167072
3.93 11.17459 3.93 9.69809 3.93 2.048995
4.12 10.71574 4.12 9.113049 4.12 1.971111
5.14 10.27832 5.14 8.564456 5.14 1.921655
8.81 9.970794 8.81 8.106906 8.81 3.409784
6.9 9.521237 6.9 7.580086 6.9 2.19151
6.08 9.090859 6.08 7.110699 6.08 2.072317
5.57 8.698206 5.57 6.678771 5.57 1.969735
5.31 8.33401 5.31 6.275371 5.31 1.880921
5.02 7.988329 5.02 5.896023 5.02 1.803603
4.77 7.659915 4.77 5.540591 4.77 1.825074
4.6 7.343578 4.6 5.205407 4.6 1.855657
4.35 7.042019 4.35 4.891622 4.35 1.884767
4.14 6.75202 4.14 4.596065 4.14 1.912221
4.17 6.513411 4.17 4.339073 4.17 2.270517
4.21 6.231592 4.21 4.064153 4.21 1.918396
4.54 6.024517 4.54 3.84732 4.54 2.407375
5.01 5.939583 5.01 3.692408 5.01 3.095032
7.65 5.685665 7.65 3.44213 7.65 2.175342
9.4 5.35655 9.4 3.191557 9.4 1.879715
7.74 5.080895 7.74 2.988323 7.74 1.805829
6.6 4.848769 6.6 2.805616 6.6 1.836071
6.05 4.641113 6.05 2.635777 6.05 1.865161
5.68 4.447475 5.68 2.476515 5.68 1.892521
5.31 4.263573 5.31 2.32692 5.31 1.918223
4.88 4.087768 4.88 2.186368 4.88 1.942421
4.68 3.919351 4.68 2.054306 4.68 1.965144
4.4 3.759735 4.4 1.931163 4.4 1.986334
4.55 3.610755 4.55 1.817286 4.55 2.006059
4.56 3.46093 4.56 1.706131 4.56 2.024134
4.43 3.315525 4.43 1.601926 4.43 2.040812
4.5 3.178108 4.5 1.505257 4.5 2.056249
4.28 3.047958 4.28 1.414891 4.28 2.070529
4.05 2.922798 4.05 1.329541 4.05 2.08379
4.06 2.833472 4.06 1.265351 4.06 2.178816
6.69 3.059867 6.69 1.361493 6.69 3.69627
7.59 2.922412 7.59 1.223783 7.59 2.308829
9.6 2.709806 9.6 1.112058 9.6 2.033295
18.7 3.139784 18.7 1.339859 18.7 4.548826
19.1 2.864746 19.1 1.110653 19.1 2.525759
14.4 2.476251 14.4 0.9426748 14.4 2.371944
12.7 2.543756 12.7 1.019975 12.7 2.911886
11 2.294949 11 0.8653713 11 2.487821
