dmodelsim dmodelsim1 dmodelsim2
15 15 3.512354
14.38896 14.09412 3.179362
13.87493 13.28036 3.502726
13.28837 12.45657 3.168784
12.80391 11.73838 3.209517
12.44094 11.10341 3.550687
11.86683 10.37707 3.264134
11.31364 9.729733 2.990134
10.80623 9.131662 2.748761
10.34447 8.577294 2.547771
9.91421 8.05833 2.378847
9.507105 7.571412 2.235632
9.119354 7.114405 2.113288
8.747314 6.684529 2.008097
8.390467 6.280661 1.917132
8.04834 5.90127 1.838073
7.720262 5.544815 1.820943
7.405596 5.209895 1.850818
7.103901 4.895273 1.879217
6.847275 4.616489 2.04171
6.558053 4.327616 1.914281
6.283054 4.064468 1.937395
6.021347 3.817602 1.960355
5.773469 3.586749 1.981855
5.537211 3.370041 2.002034
5.311513 3.166642 2.020764
5.094456 2.975092 2.037992
4.886465 2.795311 2.05393
4.687162 2.626453 2.068727
4.496519 2.468033 2.084864
4.313103 2.318821 2.094665
4.139117 2.179721 2.117023
4.00316 2.064697 2.298048
3.83394 1.932096 2.124072
3.665304 1.810666 2.102376
3.508937 1.700038 2.110628
3.394431 1.613252 2.287694
3.266654 1.517114 2.216445
3.118637 1.416973 2.106334
2.989887 1.333567 2.158445
2.947358 1.294406 2.555873
2.793169 1.18752 2.043047
2.662795 1.114383 2.125117
2.549082 1.047919 2.124175
2.446185 0.9865097 2.13428
2.3541 0.9311996 2.162535
2.248206 0.8693029 2.058754
2.283332 0.8836686 2.688575
2.232283 0.8336444 2.355514
2.216546 0.8185064 2.581127
2.122422 0.7598454 2.286023
2.165119 0.7844683 2.836446
2.053752 0.7109364 2.225925
1.865312 0.6252004 1.948665
1.714617 0.5704057 1.873594
1.597701 0.5257927 1.833965
1.513176 0.4922063 1.860359
1.508682 0.4945148 2.056204
1.440054 0.4529255 1.891205
1.355216 0.4148211 1.912446
1.284403 0.3867745 1.933477
1.225673 0.3628546 1.953283
1.173525 0.3408512 1.97238
1.125017 0.3202511 1.99047
1.159808 0.3421716 2.135752
1.877001 0.6968776 4.819496
1.716891 0.5033145 2.35955
1.375299 0.3659088 2.252409
1.113743 0.2931195 2.141981
0.975106 0.2641799 2.046221
0.9014262 0.2463323 1.962742
0.8537722 0.2311781 1.889446
0.8157324 0.2171778 1.839542
0.7815743 0.2040551 1.863549
0.7494742 0.1917292 1.886234
0.7188644 0.1801483 1.907977
0.68955 0.1692669 1.928869
0.6827938 0.1699474 1.94916
0.6507489 0.154434 1.967894
0.652863 0.1608766 1.98595
0.6105108 0.1392402 2.001692
0.5723356 0.1272222 2.016284
0.5430122 0.1188595 2.030208
0.5205061 0.1124979 2.043405
0.5932198 0.1544969 2.068186
0.5376999 0.1151152 2.06666
0.484778 0.09885842 2.077122
0.4505746 0.09112704 2.086924
0.4269457 0.08535072 2.096119
0.4078568 0.08015779 2.104961
0.3907345 0.07531126 2.113263
0.3746697 0.0707617 2.120895
0.3593621 0.06648747 2.127971
0.3788228 0.08061106 2.135221
0.3814635 0.08023576 2.141686
0.3678 0.07448518 2.147704
0.6228613 0.2149344 2.618717
0.5822257 0.1537498 2.107696
0.9014751 0.3351541 3.110279
1.525389 0.6123004 4.033788
1.073435 0.2855849 2.060504
2.12837 0.910664 5.468396
5.25839 2.28329 13.74342
3.337117 0.8828179 7.136686
3.002935 1.05427 8.203802
5.00068 2.049915 15.00565
3.607765 1.118768 11.59904
3.215188 1.167032 11.51424
1.956218 0.6587512 9.180553
3.039811 1.334821 10.96668
4.745336 1.932277 14.9327
7.168141 2.738741 23.36644
5.327646 1.632155 18.27906
3.098566 0.9642536 13.55888
3.849016 1.586767 14.77308
5.707519 2.241599 18.56397
3.612838 1.133295 13.86113
2.07466 0.7840348 10.9077
1.381768 0.6846574 8.934419
1.109868 0.6353438 7.541815
1.022787 0.6071064 6.51558
1.879799 0.962748 5.985044
4.510812 1.950695 8.618002
3.060487 0.9800657 7.222726
1.818703 0.6625025 6.279072
1.236066 0.5738412 5.553303
1.33208 0.6752617 4.986441
14.04459 5.879436 40.03228
9.227313 2.28224 19.43241
4.618327 1.130378 14.30483
2.453413 0.8694158 11.18945
1.632028 0.7870442 9.119603
1.334012 0.7353766 7.657529
1.295149 0.7261459 6.589828
3.43484 1.609853 7.663096
2.543659 0.9314524 6.614897
2.178164 0.8973279 5.811996
1.621235 0.6983001 5.185736
1.269473 0.6062552 4.684113
1.105006 0.5626823 4.273386
1.383023 0.6871013 3.936406
13.90083 5.854667 28.22821
13.67426 4.015264 20.59288
9.571168 2.489433 16.48295
5.21924 1.384406 12.56676
2.9192 1.038928 10.05759
1.981074 0.9274666 8.342217
1.71666 0.9012659 7.107856
3.463787 1.611971 6.924307
2.749119 1.071423 6.057702
2.253815 0.9541035 5.378162
1.992958 0.8947211 4.836602
1.678955 0.7752822 4.393894
1.444409 0.6951036 4.024732
1.290787 0.6374011 3.712356
1.200624 0.5962873 3.447947
3.931754 1.836628 4.049681
2.869152 0.952362 3.730046
1.84985 0.6548985 3.450715
1.353204 0.5699199 3.210615
1.144376 0.5284732 3.002678
1.174833 0.5579998 2.822931
3.602939 1.737292 3.420132
6.880868 2.937346 5.808922
4.547488 1.343947 4.210684
2.63062 0.8254412 3.82415
1.657852 0.6546632 3.502935
1.257436 0.5919978 3.231542
1.095317 0.5525988 2.999431
1.016926 0.5187098 2.799117
0.9658204 0.4873122 2.624837
0.9238133 0.4578692 2.472414
0.8854628 0.4302119 2.338758
0.8491948 0.404226 2.221096
0.8145397 0.3798099 2.117026
0.7813313 0.3568685 2.024514
