qoss qsim
0.01937091 -0.07237447
0.5120743 0.5502452
0.3638129 0.8364526
0.0848598 0.1119019
-0.04567104 0.8060758
0.4013894 0.6143183
0.5004346 1.181915
0.6648519 0.5435448
0.8161524 0.1282961
0.6688024 1.040773
0.3795598 0.5681411
-0.433702 -0.3376758
0.4832505 0.6810794
0.5435766 0.441706
0.264972 0.5022862
0.210747 1.149694
-0.4312633 0.6091
0.6415154 0.6796794
0.06303017 1.241881
-0.5372846 0.2297778
0.2594968 0.3718735
0.6956361 0.8538039
0.1173199 0.5280274
0.681516 -0.1380485
0.2420646 -0.1954413
0.7493999 1.001316
1.445658 0.8242411
0.5760265 0.2572596
1.050806 1.08333
-0.2098402 0.9530913
-0.2696088 0.657591
0.6897472 0.8015831
0.07555358 1.109275
0.6673958 0.2327714
0.5650526 -0.3088088
0.5027082 1.403075
0.7239787 0.671735
-0.1003828 0.3450172
-0.3657432 0.6883296
0.5923987 0.7531316
-0.3976823 0.3588556
-0.42613 -0.6393302
0.4202935 0.5868248
-0.7490121 -0.06529407
0.1816078 1.015594
-0.3889627 -0.03967474
-0.0006466021 0.9392887
-0.7444391 0.64652
0.1612635 1.113587
-0.4335939 0.6979898
0.2867264 -0.4456633
0.06981795 1.292594
-1.002809 0.9134855
-0.7079476 -0.1981836
-0.5318272 0.7551221
-0.0624902 1.055745
-0.07829159 -0.01965062
-0.6768631 -0.08453885
-0.6269982 0.3047178
-0.5878512 0.1893623
-0.7257162 0.3034953
-1.033909 0.2680967
-1.055738 0.2319239
-0.8999393 -0.7864675
-1.574192 -0.0124033
-1.182471 -0.1863169
-1.21441 -0.5344052
-0.6191458 -0.8109076
-0.6951973 0.1907636
-1.200722 -0.03047571
-0.2098402 0.5390221
-0.08009443 0.3128515
0.2264058 -0.07218955
-1.112421 1.073751
0.1237706 -0.6430345
0.2508518 0.2181928
-0.8357039 0.6151854
0.7196577 -0.1186876
-0.1586321 0.3181963
0.5978561 0.8898473
0.582706 0.1496956
0.2318143 0.7866782
0.2041855 0.1354956
0.3541759 0.360421
0.8341752 0.3678333
0.5873686 0.5794291
1.444531 0.3390733
0.8506397 0.1486666
0.1751388 0.04577651
0.8674255 0.0818935
-0.3548538 0.2669432
-0.5495841 0.6015217
-0.2327103 0.2868265
0.2830232 -0.2669969
0.1772072 0.2724509
0.1840787 0.4930469
-0.06806372 0.8844488
-0.1999508 0.7290529
-0.1482722 0.02641486
0.144899 1.093394
0.05780891 0.7278639
0.1213962 -0.7333573
-0.01092936 0.8678269
0.3514245 0.2622511
-0.04675463 0.5129605
0.3453106 -0.1523227
0.892145 0.3950264
0.5649127 0.650501
0.2021053 0.6139282
0.4081187 0.7559228
0.3631876 0.5644224
-0.4388255 0.2794299
-0.1586321 -0.04253188
0.5967952 1.194721
0.2922413 0.311403
0.4941654 0.02948078
-0.856575 1.224811
-0.9663562 0.2867972
-0.3849916 1.220782
-0.1641409 0.7749824
0.4941654 0.5408555
-0.1314735 0.2389816
-0.3155224 0.7525024
-0.144512 0.5597371
-0.5284445 0.4669859
-0.3517328 -0.4465472
0.349992 -0.2433681
-0.1391963 -0.4346708
0.02199325 -0.02153288
-0.5074502 1.12443
-0.04246531 0.9659145
-0.4467605 0.7545988
0.09704958 0.04885323
-0.4187336 -0.01184965
0.5552649 1.291415
0.3908333 0.456041
-0.04213476 0.3162945
-0.7486692 0.4133645
0.4237913 0.8133324
0.23981 0.2947746
-0.04714529 0.5537297
-0.4779829 -0.05979396
-0.5484457 -0.05512369
-0.06850109 0.7425802
0.3143472 0.4828134
0.09322322 1.022618
0.259592 1.266804
0.08872009 1.152677
-0.1152141 0.2449017
-0.1657277 0.1670201
0.1927036 1.241772
0.4218076 0.8648137
0.3539113 1.242968
-0.4903425 -0.07866627
-0.3515006 -0.02679269
0.196789 0.5329838
-0.009737836 0.3757224
0.3203385 0.0275341
0.5858281 0.74084
0.6003762 0.6008987
0.7677796 0.1745859
1.003136 0.09263892
0.7854143 0.1294398
0.4580247 -0.2623203
-0.1886213 0.6650381
-0.3681498 1.135241
-0.5116355 0.5445086
0.4835074 0.4667647
-0.2761996 0.6713545
0.4143204 1.01712
0.09732332 0.535064
0.03784231 0.6805983
0.08986042 1.241321
-0.3221976 0.8980864
0.5245589 0.5930113
0.5569062 0.2305865
0.07435012 0.1442224
0.1375724 -0.369019
-0.4033441 -0.08949351
-0.9538591 -0.3116635
-0.3103337 0.1752086
-0.2644143 -0.2774217
-0.07769999 0.1493571
-0.09422349 0.3776964
0.2001467 -2.03413
0.06476298 0.4608867
0.05838611 0.2896328
-0.6046154 -0.00467193
-0.6407536 0.09183793
-0.6125798 0.4022012
-0.4335939 -0.06000504
0.08847026 -0.2852357
-0.5789781 0.6635585
-0.315893 0.8500805
-0.4874371 0.121534
-0.2272318 0.04692265
0.1485661 0.09203172
0.4601099 0.2156757
0.2758691 0.1453492
-0.2799414 -1.092748
-0.8344153 -1.679042
-0.2680347 -0.9828881
-0.3342276 -0.4078402
0.1958068 0.1903956
-0.2707324 0.03666204
0.1924394 0.4392917
-0.3479257 0.2601405
-0.01599324 0.5433347
-0.04969784 -0.4731458
0.0375508 0.06813625
0.4421087 -0.5092358
0.3966831 0.2102688
0.8471793 0.410964
0.0331313 0.1185573
-0.1507634 0.1432459
-0.1645535 -0.214375
0.7969851 -0.2071511
0.4502697 -0.1672106
0.4007945 0.3946071
0.5463672 0.22193
0.466085 0.05720399
0.4723357 -0.1427028
0.1589701 -0.0358125
0.3108346 -0.2128003
0.7832168 0.0701453
0.5588428 0.5202403
0.898418 0.7473194
-0.1174693 0.5617281
0.04720909 0.4067068
-0.1937161 -0.2226014
-0.2202904 -0.03716747
0.2302149 -0.1263434
-0.1497608 0.06648885
-0.002497248 0.8060165
-0.2649701 0.4152226
-0.7077875 -0.1712237
-0.1600951 0.3268632
0.18523 0.3955249
-0.2997165 -0.05477183
0.2895862 0.1680374
-0.5616133 -1.043949
-0.334908 -1.690046
0.05941309 -0.04845735
0.0231539 -0.07694292
-0.3771887 -0.9836682
-0.3945494 -0.6910609
-0.15093 0.204408
-0.01094686 -0.3083655
0.2444978 -0.4026734
-0.05115899 -0.4387382
-0.2368994 0.2432866
-0.07379792 0.02727038
0.05172949 0.1181565
-0.10983 -0.03452823
0.2688442 0.02669632
0.8250199 0.05067326
0.2120129 0.4538633
0.2193737 0.07272194
0.185354 0.000861142
0.5489538 0.4765399
-0.005833821 0.1625032
0.2139364 -0.2834326
-0.01007958 0.03041459
0.1222874 0.4546654
0.2691735 0.399318
-0.3095546 -0.01121979
-0.2903492 0.1199916
-0.5704452 -0.8251863
-0.2744887 0.004695823
-0.2843154 0.01755736
-0.2355401 0.06745867
0.3955197 -0.02394622
0.09515495 0.4010357
0.002615465 -1.346475
-0.0521091 -0.3533886
-0.3113201 -0.1949891
-0.4646552 0.2053792
-0.1382916 -0.3590583
-0.3791016 0.2724146
-0.09957263 0.3659775
0.2824687 0.1123346
0.3552448 0.2455491
0.689926 -0.3011673
0.09937836 -0.5950511
0.09177701 -0.005786823
-0.01094686 0.1918365
-0.1483003 0.0257436
0.1145544 0.02336385
0.3309171 0.4701231
